,gene_id,gene_name,Type
EXOC3L2,ENSG00000283632,EXOC3L2,Gene Expression
KLC3,ENSG00000104892,KLC3,Gene Expression
ERCC2,ENSG00000104884,ERCC2,Gene Expression
PPP1R13L,ENSG00000104881,PPP1R13L,Gene Expression
POLR1G,ENSG00000117877,POLR1G,Gene Expression
ERCC1,ENSG00000012061,ERCC1,Gene Expression
FOSB,ENSG00000125740,FOSB,Gene Expression
RTN2,ENSG00000125744,RTN2,Gene Expression
PPM1N,ENSG00000213889,PPM1N,Gene Expression
VASP,ENSG00000125753,VASP,Gene Expression
OPA3,ENSG00000125741,OPA3,Gene Expression
EML2,ENSG00000125746,EML2,Gene Expression
EML2-AS1,ENSG00000267757,EML2-AS1,Gene Expression
GIPR,ENSG00000010310,GIPR,Gene Expression
SNRPD2,ENSG00000125743,SNRPD2,Gene Expression
QPCTL,ENSG00000011478,QPCTL,Gene Expression
FBXO46,ENSG00000177051,FBXO46,Gene Expression
SIX5,ENSG00000177045,SIX5,Gene Expression
ENSG00000259605,ENSG00000259605,ENSG00000259605,Gene Expression
DMPK,ENSG00000104936,DMPK,Gene Expression
DMWD,ENSG00000185800,DMWD,Gene Expression
SYMPK,ENSG00000125755,SYMPK,Gene Expression
FOXA3,ENSG00000170608,FOXA3,Gene Expression
IRF2BP1,ENSG00000170604,IRF2BP1,Gene Expression
MYPOP,ENSG00000176182,MYPOP,Gene Expression
CCDC61,ENSG00000104983,CCDC61,Gene Expression
IGFL2-AS1,ENSG00000268621,IGFL2-AS1,Gene Expression
ENSG00000268460,ENSG00000268460,ENSG00000268460,Gene Expression
PPP5C,ENSG00000011485,PPP5C,Gene Expression
CCDC8,ENSG00000169515,CCDC8,Gene Expression
PNMA8A,ENSG00000182013,PNMA8A,Gene Expression
PPP5D1P,ENSG00000291145,PPP5D1P,Gene Expression
CALM3,ENSG00000160014,CALM3,Gene Expression
GNG8,ENSG00000167414,GNG8,Gene Expression
DACT3,ENSG00000197380,DACT3,Gene Expression
PRKD2,ENSG00000105287,PRKD2,Gene Expression
STRN4,ENSG00000090372,STRN4,Gene Expression
FKRP,ENSG00000181027,FKRP,Gene Expression
SLC1A5,ENSG00000105281,SLC1A5,Gene Expression
AP2S1,ENSG00000042753,AP2S1,Gene Expression
ARHGAP35,ENSG00000160007,ARHGAP35,Gene Expression
NPAS1,ENSG00000130751,NPAS1,Gene Expression
TMEM160,ENSG00000130748,TMEM160,Gene Expression
ZC3H4,ENSG00000130749,ZC3H4,Gene Expression
SAE1,ENSG00000142230,SAE1,Gene Expression
BBC3,ENSG00000105327,BBC3,Gene Expression
ENSG00000289915,ENSG00000289915,ENSG00000289915,Gene Expression
CCDC9,ENSG00000105321,CCDC9,Gene Expression
INAFM1,ENSG00000257704,INAFM1,Gene Expression
C5AR1,ENSG00000197405,C5AR1,Gene Expression
DHX34,ENSG00000134815,DHX34,Gene Expression
ENSG00000288827,ENSG00000288827,ENSG00000288827,Gene Expression
MEIS3,ENSG00000105419,MEIS3,Gene Expression
KPTN,ENSG00000118162,KPTN,Gene Expression
NAPA-AS1,ENSG00000268061,NAPA-AS1,Gene Expression
NAPA,ENSG00000105402,NAPA,Gene Expression
ZNF541,ENSG00000118156,ZNF541,Gene Expression
ENSG00000277383,ENSG00000277383,ENSG00000277383,Gene Expression
BICRA,ENSG00000063169,BICRA,Gene Expression
EHD2,ENSG00000024422,EHD2,Gene Expression
NOP53,ENSG00000105373,NOP53,Gene Expression
SELENOW,ENSG00000178980,SELENOW,Gene Expression
PLA2G4C,ENSG00000105499,PLA2G4C,Gene Expression
LIG1,ENSG00000105486,LIG1,Gene Expression
ZSWIM9,ENSG00000185453,ZSWIM9,Gene Expression
CARD8,ENSG00000105483,CARD8,Gene Expression
CARD8-AS1,ENSG00000268001,CARD8-AS1,Gene Expression
EMP3,ENSG00000142227,EMP3,Gene Expression
TMEM143,ENSG00000161558,TMEM143,Gene Expression
KDELR1,ENSG00000105438,KDELR1,Gene Expression
GRIN2D,ENSG00000105464,GRIN2D,Gene Expression
GRWD1,ENSG00000105447,GRWD1,Gene Expression
KCNJ14,ENSG00000182324,KCNJ14,Gene Expression
CYTH2,ENSG00000105443,CYTH2,Gene Expression
LMTK3,ENSG00000142235,LMTK3,Gene Expression
RPL18,ENSG00000063177,RPL18,Gene Expression
SPHK2,ENSG00000063176,SPHK2,Gene Expression
DBP,ENSG00000105516,DBP,Gene Expression
CA11,ENSG00000063180,CA11,Gene Expression
MAMSTR,ENSG00000176909,MAMSTR,Gene Expression
RASIP1,ENSG00000105538,RASIP1,Gene Expression
FUT1,ENSG00000174951,FUT1,Gene Expression
BCAT2,ENSG00000105552,BCAT2,Gene Expression
PLEKHA4,ENSG00000105559,PLEKHA4,Gene Expression
PPP1R15A,ENSG00000087074,PPP1R15A,Gene Expression
NUCB1,ENSG00000104805,NUCB1,Gene Expression
DHDH,ENSG00000104808,DHDH,Gene Expression
BAX,ENSG00000087088,BAX,Gene Expression
FTL,ENSG00000087086,FTL,Gene Expression
GYS1,ENSG00000104812,GYS1,Gene Expression
RUVBL2,ENSG00000183207,RUVBL2,Gene Expression
CGB2,ENSG00000104818,CGB2,Gene Expression
SNRNP70,ENSG00000104852,SNRNP70,Gene Expression
LIN7B,ENSG00000104863,LIN7B,Gene Expression
C19orf73,ENSG00000221916,C19orf73,Gene Expression
PPFIA3,ENSG00000177380,PPFIA3,Gene Expression
HRC,ENSG00000130528,HRC,Gene Expression
TRPM4,ENSG00000130529,TRPM4,Gene Expression
SLC6A16,ENSG00000063127,SLC6A16,Gene Expression
CD37,ENSG00000104894,CD37,Gene Expression
TEAD2,ENSG00000074219,TEAD2,Gene Expression
DKKL1,ENSG00000104901,DKKL1,Gene Expression
KASH5,ENSG00000161609,KASH5,Gene Expression
PTH2,ENSG00000142538,PTH2,Gene Expression
GFY,ENSG00000261949,GFY,Gene Expression
SLC17A7,ENSG00000104888,SLC17A7,Gene Expression
PIH1D1,ENSG00000104872,PIH1D1,Gene Expression
ALDH16A1,ENSG00000161618,ALDH16A1,Gene Expression
FLT3LG,ENSG00000090554,FLT3LG,Gene Expression
RPL13A,ENSG00000142541,RPL13A,Gene Expression
RPS11,ENSG00000142534,RPS11,Gene Expression
RCN3,ENSG00000142552,RCN3,Gene Expression
NOSIP,ENSG00000142546,NOSIP,Gene Expression
PRRG2,ENSG00000126460,PRRG2,Gene Expression
PRR12,ENSG00000126464,PRR12,Gene Expression
RRAS,ENSG00000126458,RRAS,Gene Expression
SCAF1,ENSG00000126461,SCAF1,Gene Expression
IRF3,ENSG00000126456,IRF3,Gene Expression
BCL2L12,ENSG00000126453,BCL2L12,Gene Expression
PRMT1,ENSG00000126457,PRMT1,Gene Expression
CPT1C,ENSG00000169169,CPT1C,Gene Expression
TSKS,ENSG00000126467,TSKS,Gene Expression
AP2A1,ENSG00000196961,AP2A1,Gene Expression
FUZ,ENSG00000010361,FUZ,Gene Expression
MED25,ENSG00000104973,MED25,Gene Expression
PTOV1-AS1,ENSG00000268006,PTOV1-AS1,Gene Expression
PTOV1,ENSG00000104960,PTOV1,Gene Expression
PNKP,ENSG00000039650,PNKP,Gene Expression
AKT1S1,ENSG00000204673,AKT1S1,Gene Expression
TBC1D17,ENSG00000104946,TBC1D17,Gene Expression
IL4I1,ENSG00000104951,IL4I1,Gene Expression
NUP62,ENSG00000213024,NUP62,Gene Expression
ATF5,ENSG00000169136,ATF5,Gene Expression
VRK3,ENSG00000105053,VRK3,Gene Expression
ZNF473,ENSG00000142528,ZNF473,Gene Expression
ENSG00000287001,ENSG00000287001,ENSG00000287001,Gene Expression
MYH14,ENSG00000105357,MYH14,Gene Expression
KCNC3,ENSG00000131398,KCNC3,Gene Expression
NR1H2,ENSG00000131408,NR1H2,Gene Expression
POLD1,ENSG00000062822,POLD1,Gene Expression
GARIN5A,ENSG00000142530,GARIN5A,Gene Expression
EMC10,ENSG00000161671,EMC10,Gene Expression
JOSD2,ENSG00000161677,JOSD2,Gene Expression
LRRC4B,ENSG00000131409,LRRC4B,Gene Expression
SYT3,ENSG00000213023,SYT3,Gene Expression
C19orf81,ENSG00000235034,C19orf81,Gene Expression
SHANK1,ENSG00000161681,SHANK1,Gene Expression
CLEC11A,ENSG00000105472,CLEC11A,Gene Expression
KLK1,ENSG00000167748,KLK1,Gene Expression
KLKP1,ENSG00000290915,KLKP1,Gene Expression
KLK4,ENSG00000167749,KLK4,Gene Expression
KLK8,ENSG00000129455,KLK8,Gene Expression
KLK13,ENSG00000167759,KLK13,Gene Expression
CTU1,ENSG00000142544,CTU1,Gene Expression
SIGLEC17P,ENSG00000291114,SIGLEC17P,Gene Expression
CD33,ENSG00000105383,CD33,Gene Expression
VSIG10L,ENSG00000186806,VSIG10L,Gene Expression
ETFB,ENSG00000105379,ETFB,Gene Expression
CLDND2,ENSG00000160318,CLDND2,Gene Expression
NKG7,ENSG00000105374,NKG7,Gene Expression
C19orf84,ENSG00000262874,C19orf84,Gene Expression
LIM2-AS1,ENSG00000268889,LIM2-AS1,Gene Expression
SIGLEC6,ENSG00000105492,SIGLEC6,Gene Expression
ZNF175,ENSG00000105497,ZNF175,Gene Expression
SPACA6,ENSG00000182310,SPACA6,Gene Expression
HAS1,ENSG00000105509,HAS1,Gene Expression
FPR3,ENSG00000187474,FPR3,Gene Expression
ZNF577,ENSG00000161551,ZNF577,Gene Expression
ZNF649,ENSG00000198093,ZNF649,Gene Expression
ZNF613,ENSG00000176024,ZNF613,Gene Expression
ZNF350,ENSG00000256683,ZNF350,Gene Expression
ZNF615,ENSG00000197619,ZNF615,Gene Expression
ZNF614,ENSG00000142556,ZNF614,Gene Expression
ZNF432,ENSG00000256087,ZNF432,Gene Expression
ENSG00000275055,ENSG00000275055,ENSG00000275055,Gene Expression
ZNF841,ENSG00000197608,ZNF841,Gene Expression
ZNF616,ENSG00000204611,ZNF616,Gene Expression
PPP2R1A,ENSG00000105568,PPP2R1A,Gene Expression
ZNF766,ENSG00000196214,ZNF766,Gene Expression
ZNF480,ENSG00000198464,ZNF480,Gene Expression
ZNF880,ENSG00000221923,ZNF880,Gene Expression
ZNF528-AS1,ENSG00000269834,ZNF528-AS1,Gene Expression
ZNF528,ENSG00000167555,ZNF528,Gene Expression
ZNF808,ENSG00000198482,ZNF808,Gene Expression
ZNF701,ENSG00000167562,ZNF701,Gene Expression
ZNF83,ENSG00000167766,ZNF83,Gene Expression
ENSG00000290073,ENSG00000290073,ENSG00000290073,Gene Expression
ENSG00000269825,ENSG00000269825,ENSG00000269825,Gene Expression
ZNF611,ENSG00000213020,ZNF611,Gene Expression
ZNF600,ENSG00000189190,ZNF600,Gene Expression
ZNF28,ENSG00000198538,ZNF28,Gene Expression
ZNF468,ENSG00000204604,ZNF468,Gene Expression
ZNF320,ENSG00000182986,ZNF320,Gene Expression
ZNF888,ENSG00000213793,ZNF888,Gene Expression
ZNF816,ENSG00000180257,ZNF816,Gene Expression
ZNF160,ENSG00000170949,ZNF160,Gene Expression
ZNF347,ENSG00000197937,ZNF347,Gene Expression
ZNF665,ENSG00000197497,ZNF665,Gene Expression
ENSG00000291131,ENSG00000291131,ENSG00000291131,Gene Expression
ZNF677,ENSG00000197928,ZNF677,Gene Expression
ZNF845,ENSG00000213799,ZNF845,Gene Expression
ZNF525,ENSG00000203326,ZNF525,Gene Expression
ZNF765,ENSG00000196417,ZNF765,Gene Expression
ZNF761,ENSG00000160336,ZNF761,Gene Expression
ZNF813,ENSG00000198346,ZNF813,Gene Expression
MYADM,ENSG00000179820,MYADM,Gene Expression
NDUFA3,ENSG00000170906,NDUFA3,Gene Expression
TFPT,ENSG00000105619,TFPT,Gene Expression
PRPF31,ENSG00000105618,PRPF31,Gene Expression
CNOT3,ENSG00000088038,CNOT3,Gene Expression
LENG1,ENSG00000105617,LENG1,Gene Expression
TMC4,ENSG00000167608,TMC4,Gene Expression
MBOAT7,ENSG00000125505,MBOAT7,Gene Expression
TSEN34,ENSG00000170892,TSEN34,Gene Expression
RPS9,ENSG00000170889,RPS9,Gene Expression
LENG8-AS1,ENSG00000226696,LENG8-AS1,Gene Expression
LENG8,ENSG00000167615,LENG8,Gene Expression
NLRP2,ENSG00000022556,NLRP2,Gene Expression
GP6-AS1,ENSG00000267265,GP6-AS1,Gene Expression
GP6,ENSG00000088053,GP6,Gene Expression
RDH13,ENSG00000160439,RDH13,Gene Expression
EPS8L1,ENSG00000131037,EPS8L1,Gene Expression
PPP1R12C,ENSG00000125503,PPP1R12C,Gene Expression
TNNT1,ENSG00000105048,TNNT1,Gene Expression
TNNI3,ENSG00000129991,TNNI3,Gene Expression
DNAAF3,ENSG00000167646,DNAAF3,Gene Expression
DNAAF3-AS1,ENSG00000267577,DNAAF3-AS1,Gene Expression
SYT5,ENSG00000129990,SYT5,Gene Expression
PTPRH,ENSG00000080031,PTPRH,Gene Expression
ENSG00000286230,ENSG00000286230,ENSG00000286230,Gene Expression
ENSG00000267649,ENSG00000267649,ENSG00000267649,Gene Expression
PPP6R1,ENSG00000105063,PPP6R1,Gene Expression
HSPBP1,ENSG00000133265,HSPBP1,Gene Expression
KMT5C,ENSG00000133247,KMT5C,Gene Expression
TMEM238,ENSG00000233493,TMEM238,Gene Expression
RPL28,ENSG00000108107,RPL28,Gene Expression
UBE2S,ENSG00000108106,UBE2S,Gene Expression
ISOC2,ENSG00000063241,ISOC2,Gene Expression
ZNF628,ENSG00000197483,ZNF628,Gene Expression
NAT14,ENSG00000090971,NAT14,Gene Expression
ZNF579,ENSG00000218891,ZNF579,Gene Expression
FIZ1,ENSG00000179943,FIZ1,Gene Expression
ZNF524,ENSG00000171443,ZNF524,Gene Expression
ZNF865,ENSG00000261221,ZNF865,Gene Expression
ZNF784,ENSG00000179922,ZNF784,Gene Expression
ZNF580,ENSG00000213015,ZNF580,Gene Expression
ZNF581,ENSG00000171425,ZNF581,Gene Expression
CCDC106,ENSG00000173581,CCDC106,Gene Expression
U2AF2,ENSG00000063244,U2AF2,Gene Expression
EPN1,ENSG00000063245,EPN1,Gene Expression
NLRP11,ENSG00000179873,NLRP11,Gene Expression
ZNF787,ENSG00000142409,ZNF787,Gene Expression
ZNF444,ENSG00000167685,ZNF444,Gene Expression
ZSCAN5A,ENSG00000131848,ZSCAN5A,Gene Expression
EDDM13,ENSG00000267710,EDDM13,Gene Expression
ZNF542P,ENSG00000290720,ZNF542P,Gene Expression
ZNF582,ENSG00000018869,ZNF582,Gene Expression
ZNF583,ENSG00000198440,ZNF583,Gene Expression
ZNF667-AS1,ENSG00000166770,ZNF667-AS1,Gene Expression
ZNF264,ENSG00000083844,ZNF264,Gene Expression
AURKC,ENSG00000105146,AURKC,Gene Expression
ZNF805,ENSG00000204524,ZNF805,Gene Expression
ZNF460-AS1,ENSG00000267871,ZNF460-AS1,Gene Expression
ZNF460,ENSG00000197714,ZNF460,Gene Expression
ENSG00000268205,ENSG00000268205,ENSG00000268205,Gene Expression
ZNF543,ENSG00000178229,ZNF543,Gene Expression
ZNF304,ENSG00000131845,ZNF304,Gene Expression
TRAPPC2B,ENSG00000256060,TRAPPC2B,Gene Expression
ZNF548,ENSG00000188785,ZNF548,Gene Expression
ZNF17,ENSG00000186272,ZNF17,Gene Expression
ZNF749,ENSG00000186230,ZNF749,Gene Expression
ZNF772,ENSG00000197128,ZNF772,Gene Expression
ZNF419,ENSG00000105136,ZNF419,Gene Expression
ZNF550,ENSG00000251369,ZNF550,Gene Expression
ZNF416,ENSG00000083817,ZNF416,Gene Expression
ZNF530,ENSG00000183647,ZNF530,Gene Expression
ZNF134,ENSG00000213762,ZNF134,Gene Expression
ZNF211,ENSG00000121417,ZNF211,Gene Expression
ZNF551,ENSG00000204519,ZNF551,Gene Expression
ZNF776,ENSG00000152443,ZNF776,Gene Expression
ZNF586,ENSG00000083828,ZNF586,Gene Expression
ZNF552,ENSG00000178935,ZNF552,Gene Expression
ZNF587B,ENSG00000269343,ZNF587B,Gene Expression
ZNF814,ENSG00000204514,ZNF814,Gene Expression
ZNF587,ENSG00000198466,ZNF587,Gene Expression
ZNF417,ENSG00000173480,ZNF417,Gene Expression
ZSCAN18,ENSG00000121413,ZSCAN18,Gene Expression
ZNF329,ENSG00000181894,ZNF329,Gene Expression
ZNF274,ENSG00000171606,ZNF274,Gene Expression
ZNF544,ENSG00000198131,ZNF544,Gene Expression
ZNF8-DT,ENSG00000268516,ZNF8-DT,Gene Expression
ZNF8,ENSG00000278129,ZNF8,Gene Expression
ERVK3-1,ENSG00000142396,ERVK3-1,Gene Expression
ENSG00000283103,ENSG00000283103,ENSG00000283103,Gene Expression
ZSCAN22,ENSG00000182318,ZSCAN22,Gene Expression
A1BG,ENSG00000121410,A1BG,Gene Expression
A1BG-AS1,ENSG00000268895,A1BG-AS1,Gene Expression
ZNF497,ENSG00000174586,ZNF497,Gene Expression
ZNF837,ENSG00000152475,ZNF837,Gene Expression
RPS5,ENSG00000083845,RPS5,Gene Expression
ZNF584,ENSG00000171574,ZNF584,Gene Expression
ZNF584-DT,ENSG00000232098,ZNF584-DT,Gene Expression
ZNF324B,ENSG00000249471,ZNF324B,Gene Expression
ZNF324,ENSG00000083812,ZNF324,Gene Expression
ZNF446,ENSG00000083838,ZNF446,Gene Expression
SLC27A5,ENSG00000083807,SLC27A5,Gene Expression
ZBTB45,ENSG00000119574,ZBTB45,Gene Expression
TRIM28,ENSG00000130726,TRIM28,Gene Expression
CHMP2A,ENSG00000130724,CHMP2A,Gene Expression
UBE2M,ENSG00000130725,UBE2M,Gene Expression
MZF1-AS1,ENSG00000267858,MZF1-AS1,Gene Expression
MZF1,ENSG00000099326,MZF1,Gene Expression
ENSG00000269600,ENSG00000269600,ENSG00000269600,Gene Expression
C20orf96,ENSG00000196476,C20orf96,Gene Expression
ZCCHC3,ENSG00000247315,ZCCHC3,Gene Expression
NRSN2-AS1,ENSG00000225377,NRSN2-AS1,Gene Expression
SOX12,ENSG00000177732,SOX12,Gene Expression
NRSN2,ENSG00000125841,NRSN2,Gene Expression
TRIB3,ENSG00000101255,TRIB3,Gene Expression
RBCK1,ENSG00000125826,RBCK1,Gene Expression
TBC1D20,ENSG00000125875,TBC1D20,Gene Expression
CSNK2A1,ENSG00000101266,CSNK2A1,Gene Expression
TCF15,ENSG00000125878,TCF15,Gene Expression
SRXN1,ENSG00000271303,SRXN1,Gene Expression
FAM110A,ENSG00000125898,FAM110A,Gene Expression
ENSG00000286787,ENSG00000286787,ENSG00000286787,Gene Expression
PSMF1,ENSG00000125818,PSMF1,Gene Expression
TMEM74B,ENSG00000125895,TMEM74B,Gene Expression
RAD21L1,ENSG00000244588,RAD21L1,Gene Expression
SNPH,ENSG00000101298,SNPH,Gene Expression
SDCBP2,ENSG00000125775,SDCBP2,Gene Expression
SDCBP2-AS1,ENSG00000234684,SDCBP2-AS1,Gene Expression
FKBP1A,ENSG00000088832,FKBP1A,Gene Expression
NSFL1C,ENSG00000088833,NSFL1C,Gene Expression
STK35,ENSG00000125834,STK35,Gene Expression
SNRPB,ENSG00000125835,SNRPB,Gene Expression
ZNF343,ENSG00000088876,ZNF343,Gene Expression
NOP56,ENSG00000101361,NOP56,Gene Expression
IDH3B,ENSG00000101365,IDH3B,Gene Expression
PCED1A,ENSG00000132635,PCED1A,Gene Expression
VPS16,ENSG00000215305,VPS16,Gene Expression
PTPRA,ENSG00000132670,PTPRA,Gene Expression
MRPS26,ENSG00000125901,MRPS26,Gene Expression
UBOX5,ENSG00000185019,UBOX5,Gene Expression
FASTKD5,ENSG00000215251,FASTKD5,Gene Expression
LZTS3,ENSG00000088899,LZTS3,Gene Expression
DDRGK1,ENSG00000198171,DDRGK1,Gene Expression
ENSG00000289494,ENSG00000289494,ENSG00000289494,Gene Expression
ITPA,ENSG00000125877,ITPA,Gene Expression
DNAAF9,ENSG00000088854,DNAAF9,Gene Expression
ATRN,ENSG00000088812,ATRN,Gene Expression
ADISSP,ENSG00000101220,ADISSP,Gene Expression
CENPB,ENSG00000125817,CENPB,Gene Expression
CDC25B,ENSG00000101224,CDC25B,Gene Expression
AP5S1,ENSG00000125843,AP5S1,Gene Expression
MAVS,ENSG00000088888,MAVS,Gene Expression
PANK2-AS1,ENSG00000229539,PANK2-AS1,Gene Expression
PANK2,ENSG00000125779,PANK2,Gene Expression
RNF24,ENSG00000101236,RNF24,Gene Expression
ENSG00000205300,ENSG00000205300,ENSG00000205300,Gene Expression
SMOX,ENSG00000088826,SMOX,Gene Expression
ADRA1D,ENSG00000171873,ADRA1D,Gene Expression
PRNP,ENSG00000171867,PRNP,Gene Expression
SLC23A2,ENSG00000089057,SLC23A2,Gene Expression
TMEM230,ENSG00000089063,TMEM230,Gene Expression
PCNA,ENSG00000132646,PCNA,Gene Expression
CDS2,ENSG00000101290,CDS2,Gene Expression
GPCPD1,ENSG00000125772,GPCPD1,Gene Expression
SHLD1,ENSG00000171984,SHLD1,Gene Expression
TRMT6,ENSG00000089195,TRMT6,Gene Expression
MCM8,ENSG00000125885,MCM8,Gene Expression
CRLS1,ENSG00000088766,CRLS1,Gene Expression
CASC20,ENSG00000229876,CASC20,Gene Expression
TMX4,ENSG00000125827,TMX4,Gene Expression
PLCB1,ENSG00000182621,PLCB1,Gene Expression
ANKEF1,ENSG00000132623,ANKEF1,Gene Expression
MKKS,ENSG00000125863,MKKS,Gene Expression
SLX4IP,ENSG00000149346,SLX4IP,Gene Expression
BTBD3,ENSG00000132640,BTBD3,Gene Expression
TASP1,ENSG00000089123,TASP1,Gene Expression
ESF1,ENSG00000089048,ESF1,Gene Expression
NDUFAF5,ENSG00000101247,NDUFAF5,Gene Expression
MACROD2,ENSG00000172264,MACROD2,Gene Expression
KIF16B,ENSG00000089177,KIF16B,Gene Expression
SNRPB2,ENSG00000125870,SNRPB2,Gene Expression
BFSP1,ENSG00000125864,BFSP1,Gene Expression
DSTN,ENSG00000125868,DSTN,Gene Expression
RRBP1,ENSG00000125844,RRBP1,Gene Expression
SNX5,ENSG00000089006,SNX5,Gene Expression
OVOL2,ENSG00000125850,OVOL2,Gene Expression
MGME1,ENSG00000125871,MGME1,Gene Expression
KAT14,ENSG00000149474,KAT14,Gene Expression
ZNF133,ENSG00000125846,ZNF133,Gene Expression
POLR3F,ENSG00000132664,POLR3F,Gene Expression
SEC23B,ENSG00000101310,SEC23B,Gene Expression
SMIM26,ENSG00000232388,SMIM26,Gene Expression
DTD1,ENSG00000125821,DTD1,Gene Expression
NAA20,ENSG00000173418,NAA20,Gene Expression
CRNKL1,ENSG00000101343,CRNKL1,Gene Expression
RALGAPA2,ENSG00000188559,RALGAPA2,Gene Expression
KIZ,ENSG00000088970,KIZ,Gene Expression
ENSG00000275457,ENSG00000275457,ENSG00000275457,Gene Expression
XRN2,ENSG00000088930,XRN2,Gene Expression
LINC00261,ENSG00000259974,LINC00261,Gene Expression
LINC00656,ENSG00000233746,LINC00656,Gene Expression
NXT1,ENSG00000132661,NXT1,Gene Expression
LINC01431,ENSG00000232645,LINC01431,Gene Expression
GZF1,ENSG00000125812,GZF1,Gene Expression
NAPB,ENSG00000125814,NAPB,Gene Expression
CST3,ENSG00000101439,CST3,Gene Expression
APMAP,ENSG00000101474,APMAP,Gene Expression
ENTPD6,ENSG00000197586,ENTPD6,Gene Expression
PYGB,ENSG00000100994,PYGB,Gene Expression
ABHD12,ENSG00000100997,ABHD12,Gene Expression
GINS1,ENSG00000101003,GINS1,Gene Expression
NANP,ENSG00000170191,NANP,Gene Expression
ZNF337-AS1,ENSG00000213742,ZNF337-AS1,Gene Expression
ZNF337,ENSG00000130684,ZNF337,Gene Expression
MIR663AHG,ENSG00000227195,MIR663AHG,Gene Expression
ENSG00000291100,ENSG00000291100,ENSG00000291100,Gene Expression
LINC01597,ENSG00000205611,LINC01597,Gene Expression
ENSG00000290900,ENSG00000290900,ENSG00000290900,Gene Expression
HM13,ENSG00000101294,HM13,Gene Expression
HM13-AS1,ENSG00000230613,HM13-AS1,Gene Expression
ID1,ENSG00000125968,ID1,Gene Expression
BCL2L1,ENSG00000171552,BCL2L1,Gene Expression
TPX2,ENSG00000088325,TPX2,Gene Expression
DUSP15,ENSG00000149599,DUSP15,Gene Expression
PDRG1,ENSG00000088356,PDRG1,Gene Expression
TM9SF4,ENSG00000101337,TM9SF4,Gene Expression
PLAGL2,ENSG00000126003,PLAGL2,Gene Expression
POFUT1,ENSG00000101346,POFUT1,Gene Expression
KIF3B,ENSG00000101350,KIF3B,Gene Expression
ASXL1,ENSG00000171456,ASXL1,Gene Expression
NOL4L,ENSG00000197183,NOL4L,Gene Expression
C20orf203,ENSG00000198547,C20orf203,Gene Expression
COMMD7,ENSG00000149600,COMMD7,Gene Expression
DNMT3B,ENSG00000088305,DNMT3B,Gene Expression
MAPRE1,ENSG00000101367,MAPRE1,Gene Expression
CDK5RAP1,ENSG00000101391,CDK5RAP1,Gene Expression
SNTA1,ENSG00000101400,SNTA1,Gene Expression
CBFA2T2,ENSG00000078699,CBFA2T2,Gene Expression
NECAB3,ENSG00000125967,NECAB3,Gene Expression
E2F1,ENSG00000101412,E2F1,Gene Expression
PXMP4,ENSG00000101417,PXMP4,Gene Expression
ZNF341,ENSG00000131061,ZNF341,Gene Expression
CHMP4B,ENSG00000101421,CHMP4B,Gene Expression
RALY-AS1,ENSG00000285230,RALY-AS1,Gene Expression
RALY,ENSG00000125970,RALY,Gene Expression
EIF2S2,ENSG00000125977,EIF2S2,Gene Expression
ASIP,ENSG00000101440,ASIP,Gene Expression
ENSG00000250917,ENSG00000250917,ENSG00000250917,Gene Expression
AHCY,ENSG00000101444,AHCY,Gene Expression
ITCH,ENSG00000078747,ITCH,Gene Expression
DYNLRB1,ENSG00000125971,DYNLRB1,Gene Expression
PIGU,ENSG00000101464,PIGU,Gene Expression
NCOA6,ENSG00000198646,NCOA6,Gene Expression
TP53INP2,ENSG00000078804,TP53INP2,Gene Expression
GGT7,ENSG00000131067,GGT7,Gene Expression
ACSS2,ENSG00000131069,ACSS2,Gene Expression
GSS,ENSG00000100983,GSS,Gene Expression
TRPC4AP,ENSG00000100991,TRPC4AP,Gene Expression
EDEM2,ENSG00000088298,EDEM2,Gene Expression
PROCR,ENSG00000101000,PROCR,Gene Expression
MMP24OS,ENSG00000126005,MMP24OS,Gene Expression
EIF6,ENSG00000242372,EIF6,Gene Expression
UQCC1,ENSG00000101019,UQCC1,Gene Expression
CEP250,ENSG00000126001,CEP250,Gene Expression
ERGIC3,ENSG00000125991,ERGIC3,Gene Expression
SPAG4,ENSG00000061656,SPAG4,Gene Expression
CPNE1,ENSG00000214078,CPNE1,Gene Expression
RBM12,ENSG00000244462,RBM12,Gene Expression
NFS1,ENSG00000244005,NFS1,Gene Expression
ROMO1,ENSG00000125995,ROMO1,Gene Expression
RBM39,ENSG00000131051,RBM39,Gene Expression
ENSG00000289872,ENSG00000289872,ENSG00000289872,Gene Expression
PHF20,ENSG00000025293,PHF20,Gene Expression
SCAND1,ENSG00000171222,SCAND1,Gene Expression
CNBD2,ENSG00000149646,CNBD2,Gene Expression
NORAD,ENSG00000260032,NORAD,Gene Expression
EPB41L1,ENSG00000088367,EPB41L1,Gene Expression
AAR2,ENSG00000131043,AAR2,Gene Expression
DLGAP4,ENSG00000080845,DLGAP4,Gene Expression
MYL9,ENSG00000101335,MYL9,Gene Expression
TGIF2,ENSG00000118707,TGIF2,Gene Expression
RAB5IF,ENSG00000101084,RAB5IF,Gene Expression
NDRG3,ENSG00000101079,NDRG3,Gene Expression
DSN1,ENSG00000149636,DSN1,Gene Expression
SOGA1,ENSG00000149639,SOGA1,Gene Expression
SAMHD1,ENSG00000101347,SAMHD1,Gene Expression
RBL1,ENSG00000080839,RBL1,Gene Expression
RPN2,ENSG00000118705,RPN2,Gene Expression
